,Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
60,2023-01-01 15:00:00,31,2721.6,3952.5,1137.6,1137.6,4696.0
61,2023-01-01 15:15:00,31,2522.1,4304.1,1433.77,1433.77,4001.41
62,2023-01-01 15:30:00,32,2518.1,4407.8,1473.68,1473.67,3800.36
63,2023-01-01 15:45:00,32,2509.3,4228.0,1753.3,1753.3,3899.47
64,2023-01-01 16:00:00,33,2188.4,3541.8,1308.08,1308.08,4001.64
65,2023-01-01 16:15:00,33,2065.5,3588.8,1298.87,1298.87,3799.7
66,2023-01-01 16:30:00,34,2392.9,4530.7,1743.6,1743.6,3558.45
67,2023-01-01 16:45:00,34,2702.7,4378.3,2056.56,2056.56,3558.67
68,2023-01-01 17:00:00,35,2370.0,5203.9,2161.56,2161.56,2900.0
69,2023-01-01 17:15:00,35,2187.4,5682.4,2150.34,2150.34,2150.47
70,2023-01-01 17:30:00,36,2531.0,5182.8,2491.7,2491.7,2369.64
71,2023-01-01 17:45:00,36,2417.4,4870.7,2250.6,2250.6,2700.31
72,2023-01-01 18:00:00,37,3292.9,4240.1,2120.88,2120.88,4450.96
73,2023-01-01 18:15:00,37,3459.5,3891.0,1898.4,1898.4,4500.67
74,2023-01-01 18:30:00,38,2962.8,4141.5,1863.83,1863.83,4500.51
75,2023-01-01 18:45:00,38,2872.5,3399.0,1431.64,1431.64,4579.54
76,2023-01-01 19:00:00,39,2950.9,3012.6,1544.8,1544.8,4801.0
77,2023-01-01 19:15:00,39,3103.0,3328.9,1712.56,1712.56,4630.05
78,2023-01-01 19:30:00,40,2954.9,3559.2,1832.3,1832.3,4500.66
79,2023-01-01 19:45:00,40,2475.8,4472.1,2076.3,2076.3,3680.55
80,2023-01-01 20:00:00,41,2700.1,4147.2,1793.21,1793.21,3990.12
81,2023-01-01 20:15:00,41,2584.1,4413.5,1865.72,1865.72,3680.61
82,2023-01-01 20:30:00,42,2741.0,4673.5,1979.55,1979.55,3680.77
83,2023-01-01 20:45:00,42,2703.2,4790.7,2235.08,2235.08,3650.58
84,2023-01-01 21:00:00,43,2425.4,4865.2,2170.1,2170.1,3192.83
85,2023-01-01 21:15:00,43,2210.2,5061.2,2200.2,2200.2,2866.25
86,2023-01-01 21:30:00,44,2213.6,5198.8,1812.27,1812.27,2900.93
87,2023-01-01 21:45:00,44,2145.8,5384.3,2066.82,2066.82,2810.34
88,2023-01-01 22:00:00,45,2960.8,5055.9,1506.74,1506.74,3600.56
89,2023-01-01 22:15:00,45,2872.9,4662.1,1524.6,1524.6,3624.91
90,2023-01-01 22:30:00,46,2775.2,4756.3,1647.34,1647.34,3680.43
91,2023-01-01 22:45:00,46,2549.2,5425.3,1699.07,1699.07,3500.75
92,2023-01-01 23:00:00,47,2247.8,5063.2,1250.6,1250.6,2994.68
93,2023-01-01 23:15:00,47,2334.6,5434.1,1454.33,1454.33,2810.7
94,2023-01-01 23:30:00,48,2652.3,5217.9,1610.82,1610.82,3000.75
95,2023-01-01 23:45:00,48,2496.8,5281.6,1945.11,1945.11,2650.89
96,2023-01-02 00:00:00,1,2141.5,5655.5,1619.45,1619.45,2450.05
97,2023-01-02 00:15:00,1,2036.4,5641.6,1787.27,1787.27,2300.5
98,2023-01-02 00:30:00,2,1852.6,5046.3,1561.32,1561.32,2180.23
99,2023-01-02 00:45:00,2,1826.3,4734.2,1463.89,1463.89,2400.3
100,2023-01-02 01:00:00,3,1761.3,4856.6,1269.93,1269.93,2400.95
101,2023-01-02 01:15:00,3,1807.3,4938.9,1360.91,1360.91,2400.72
102,2023-01-02 01:30:00,4,1358.0,5383.3,1358.0,1358.0,999.13
103,2023-01-02 01:45:00,4,1409.0,5455.5,1409.0,1409.0,999.4
104,2023-01-02 02:00:00,5,1777.9,5476.1,1650.4,1650.4,1710.95
105,2023-01-02 02:15:00,5,1782.8,5476.1,1665.1,1665.1,1710.38
106,2023-01-02 02:30:00,6,1778.9,5471.5,1627.4,1627.4,1760.29
107,2023-01-02 02:45:00,6,1827.9,5363.3,1537.8,1537.8,2006.13
108,2023-01-02 03:00:00,7,2039.9,5472.4,1846.9,1846.9,2083.79
109,2023-01-02 03:15:00,7,1963.6,5514.6,1769.1,1769.1,2083.13
110,2023-01-02 03:30:00,8,1841.6,5353.9,1645.6,1645.6,2116.87
111,2023-01-02 03:45:00,8,1896.7,5305.9,1700.7,1700.7,2139.15
112,2023-01-02 04:00:00,9,1752.0,5375.8,1607.6,1607.6,1720.24
113,2023-01-02 04:15:00,9,1807.3,5080.4,1571.6,1571.6,2310.47
114,2023-01-02 04:30:00,10,2757.9,5270.0,2111.0,2111.0,2891.84
115,2023-01-02 04:45:00,10,3052.4,5540.3,2224.8,2224.8,2891.23
116,2023-01-02 05:00:00,11,2831.3,6312.4,2648.7,2648.7,2279.34
117,2023-01-02 05:15:00,11,2843.6,6018.4,2482.3,2482.3,2649.56
118,2023-01-02 05:30:00,12,2772.5,5427.6,2340.3,2340.3,3000.66
119,2023-01-02 05:45:00,12,2922.2,5132.3,2458.7,2458.7,3100.53
120,2023-01-02 06:00:00,13,3060.9,5438.1,2477.0,2477.0,3700.12
121,2023-01-02 06:15:00,13,3401.2,4855.7,2499.44,2499.46,4000.41
122,2023-01-02 06:30:00,14,4042.1,4034.4,2556.68,2556.68,5000.58
123,2023-01-02 06:45:00,14,4611.3,4114.3,2796.4,2796.4,5386.0
124,2023-01-02 07:00:00,15,3680.3,5927.0,3589.1,3589.1,3237.44
125,2023-01-02 07:15:00,15,4155.0,5751.7,3745.9,3745.9,3600.48
126,2023-01-02 07:30:00,16,4682.9,4099.2,3024.7,3024.7,5500.86
127,2023-01-02 07:45:00,16,4730.5,3391.4,2752.42,2752.42,6000.15
128,2023-01-02 08:00:00,17,5036.3,3182.6,2861.53,2861.53,6000.63
129,2023-01-02 08:15:00,17,5792.4,2942.6,2869.96,2869.96,9000.03
130,2023-01-02 08:30:00,18,5989.7,3217.1,2746.42,2746.42,8600.21
131,2023-01-02 08:45:00,18,6039.6,3321.9,2850.42,2850.42,8600.14
132,2023-01-02 09:00:00,19,5051.0,2826.8,2287.3,2287.3,6999.67
133,2023-01-02 09:15:00,19,5255.4,2703.5,2340.2,2340.2,8605.45
