2026-05-19 01:43:07,090 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 17, 'Datetime': '2023-01-01 04:15:00', 'Session ID': 9, 'Purchase Bid (MW)': 2696.6, 'Sell Bid (MW)': 4783.2, 'MCV (MW)': 1708.8, 'Final Scheduled Volume (MW)': 1708.8, 'MCP (Rs/MWh) *': 3500.89}
2026-05-19 01:43:08,092 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 18, 'Datetime': '2023-01-01 04:30:00', 'Session ID': 10, 'Purchase Bid (MW)': 2734.7, 'Sell Bid (MW)': 4666.1, 'MCV (MW)': 1844.6, 'Final Scheduled Volume (MW)': 1844.6, 'MCP (Rs/MWh) *': 3501.84}
2026-05-19 01:43:09,094 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 19, 'Datetime': '2023-01-01 04:45:00', 'Session ID': 10, 'Purchase Bid (MW)': 3172.6, 'Sell Bid (MW)': 5089.7, 'MCV (MW)': 2226.6, 'Final Scheduled Volume (MW)': 2226.6, 'MCP (Rs/MWh) *': 3501.55}
2026-05-19 01:43:10,097 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 20, 'Datetime': '2023-01-01 05:00:00', 'Session ID': 11, 'Purchase Bid (MW)': 2478.4, 'Sell Bid (MW)': 5295.8, 'MCV (MW)': 2164.4, 'Final Scheduled Volume (MW)': 2164.4, 'MCP (Rs/MWh) *': 2600.87}
2026-05-19 01:43:11,098 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 21, 'Datetime': '2023-01-01 05:15:00', 'Session ID': 11, 'Purchase Bid (MW)': 2612.3, 'Sell Bid (MW)': 4972.8, 'MCV (MW)': 1967.4, 'Final Scheduled Volume (MW)': 1967.4, 'MCP (Rs/MWh) *': 3229.03}
2026-05-19 01:43:12,101 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 22, 'Datetime': '2023-01-01 05:30:00', 'Session ID': 12, 'Purchase Bid (MW)': 2953.5, 'Sell Bid (MW)': 4986.1, 'MCV (MW)': 2223.2, 'Final Scheduled Volume (MW)': 2223.2, 'MCP (Rs/MWh) *': 3570.83}
2026-05-19 01:43:13,104 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 23, 'Datetime': '2023-01-01 05:45:00', 'Session ID': 12, 'Purchase Bid (MW)': 2822.3, 'Sell Bid (MW)': 4639.5, 'MCV (MW)': 2316.8, 'Final Scheduled Volume (MW)': 2316.8, 'MCP (Rs/MWh) *': 3039.88}
2026-05-19 01:43:14,106 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 24, 'Datetime': '2023-01-01 06:00:00', 'Session ID': 13, 'Purchase Bid (MW)': 2595.6, 'Sell Bid (MW)': 4730.0, 'MCV (MW)': 2014.48, 'Final Scheduled Volume (MW)': 2014.48, 'MCP (Rs/MWh) *': 3774.84}
2026-05-19 01:43:15,109 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 25, 'Datetime': '2023-01-01 06:15:00', 'Session ID': 13, 'Purchase Bid (MW)': 2952.6, 'Sell Bid (MW)': 4282.1, 'MCV (MW)': 1993.32, 'Final Scheduled Volume (MW)': 1993.32, 'MCP (Rs/MWh) *': 4260.91}
2026-05-19 01:43:16,110 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 26, 'Datetime': '2023-01-01 06:30:00', 'Session ID': 14, 'Purchase Bid (MW)': 3641.8, 'Sell Bid (MW)': 3636.6, 'MCV (MW)': 2254.4, 'Final Scheduled Volume (MW)': 2254.4, 'MCP (Rs/MWh) *': 5529.62}
